PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
J.Hasty,SF,2.29,32.48,,,,,0.9,2.76,5.13,,,,,,8.02,3.61,,2.96,,,,,7.26875
J.Fields,CHI,2.24,25.2,26.09,4.79,2.8,30.71,26.57,58.52,33.09,,25.0,,,54.01,30.43,,,,,,,,26.620833333333337
J.Hurts,PHI,35.84,54.3,54.69,45.63,32.97,44.0,45.19,30.08,35.23,25.46,28.51,37.02,,,15.97,5.38,37.29,,41.05,,,,35.538124999999994
T.Tagovailoa,MIA,1.35,,,,,28.57,21.97,14.71,,0.0,5.22,0.0,1.47,,10.38,1.16,1.35,19.49,,,,,8.80583333333333
S.Darnold,CAR,-0.9,7.87,9.4,30.97,9.17,40.68,,32.51,11.54,,,,,,,16.42,7.95,17.27,,,,,16.62545454545454
D.Henry,TEN,67.44,85.85,62.78,88.7,70.65,97.95,83.5,73.12,,,,,,,,,,,,44.29,,,74.91999999999999
J.Taylor,IND,49.56,46.79,73.56,74.1,43.09,83.33,72.3,84.34,66.15,91.34,70.08,77.57,60.08,,75.22,85.71,88.52,81.91,,,,,71.97941176470589
C.Patterson,ATL,43.55,20.0,28.99,34.34,50.0,,83.33,42.68,29.41,24.27,,72.48,64.46,45.31,29.03,29.79,29.17,17.74,,,,,40.28437499999999
J.Conner,ARI,38.97,25.24,47.25,23.15,30.85,49.31,37.21,29.73,58.9,60.0,65.26,,54.74,30.1,37.14,,,44.07,31.15,,,,41.441874999999996
T.Jones,NO,29.24,14.58,8.45,4.71,,,,,,,1.83,61.36,,4.93,,7.23,-2.74,11.28,,,,,14.086999999999998
M.Davis,ATL,39.52,69.09,72.46,14.14,49.07,,13.89,53.66,38.24,17.48,2.5,10.74,26.45,34.38,33.87,59.57,43.75,48.39,,,,,36.89411764705882
M.Gaskin,MIA,66.22,35.21,48.87,8.57,64.1,11.69,50.76,52.94,72.34,51.67,77.39,44.14,64.71,,29.51,11.63,31.08,-0.51,,,,,42.37176470588236
J.Williams,DEN,27.27,66.67,24.17,45.28,57.55,47.32,48.78,42.17,58.42,50.0,,36.73,66.23,39.67,54.14,66.67,36.14,24.08,,,,,46.546470588235294
N.Harris,PIT,60.0,97.44,88.89,100.0,82.99,68.07,,79.13,59.05,72.41,70.91,45.1,83.53,88.68,51.43,71.54,98.95,35.44,51.79,,,,72.51944444444445
J.Allen,BUF,37.61,24.48,,20.6,48.76,31.71,,53.92,69.44,2.16,19.78,38.05,39.39,63.01,20.17,56.14,34.76,37.95,37.93,62.39,,,38.791666666666664
