Date,Team,Acquired,Relinquished,Notes
2008-09-08,Patriots,,• Tom Brady,placed on IR with torn ACL and MCL in left knee
2008-09-08,Seahawks,,• Nate Burleson,placed on IR with torn ACL in left knee
2008-09-09,Dolphins,,• Donald Thomas,placed on IR with foot injury
2008-09-09,Jaguars,,• Vince Manuwai,placed on IR with torn ACL in right knee
2008-09-09,Lions,,• Dan Campbell (Allen),placed on IR with hamstring injury
2008-09-09,Saints,,• Hollis Thomas,placed on IR with right triceps injury
2008-09-09,Saints,• Greg Fassitt,,activated from IR
2008-09-10,49ers,,• Alex Smith (D.),placed on IR with broken bone in right shoulder
2008-09-10,Chargers,,• Shawne Merriman,placed on IR with surgery on left knee to repair torn posterior cruciate and lateral collateral ligaments
2008-09-10,Jaguars,,• Maurice Williams (Carlos),placed on IR with ruptured right biceps
2008-09-10,Raiders,,• Paul McQuistan,placed on IR with knee injury
2008-09-10,Seahawks,,• Rob Sims,placed on IR with torn pectoral muscle
2008-09-11,Texans,,• Stanley McClover,placed on IR with knee injury
2008-09-12,Saints,,• Mark Simoneau,placed on IR with back injury
2008-09-16,Browns,,• Robaire Smith,placed on IR with left Achilles tendon injury
2008-09-16,Seahawks,,• Logan Payne,placed on IR with torn MCL in right knee (out for season)
2008-09-19,Bears,,• Brandon McGowan,placed on IR recovering from surgery on ankle
2008-09-23,Broncos,,• Tom Nalen,placed on IR recovering from arthroscopic surgery on left knee
2008-09-23,Panthers,,• Dan Connor (a),placed on IR with torn ACL in left knee (out for season)
2008-09-24,Jaguars,,• Scott Starks,placed on IR with torn ACL in knee
2008-09-30,Bengals,,• DeDe Dorsey,placed on IR with hamstring injury
2008-09-30,Broncos,,• Clifford Russell / Cliff Russell,placed on IR with sprained neck
2008-09-30,Steelers,,• Kendall Simmons,placed on IR with right Achilles tendon injury
2008-09-30,Steelers,,• Rashard Mendenhall,placed on IR with fractured left shoulder (out for season)
2008-09-30,Texans,,• C.C. Brown,placed on IR with broken arm
2008-10-01,Packers,,• Cullen Jenkins,placed on IR with chest injury
2008-10-01,Ravens,,• Joe Reitz,placed on IR (SN)
2008-10-06,Raiders,,• Seth Wand,placed on IR with knee injury
2008-10-06,Rams,,• Randy McMichael,placed on IR with broken tibia and torn ligament in leg
2008-10-06,Vikings,,• E.J. Henderson,placed on IR with dislocated toes on left foot
2008-10-07,Saints,,• Tracy Porter (O'Neil),placed on IR with dislocated right wrist
2008-10-08,Panthers,,• Ryne Robinson,placed on IR with left knee injury
2008-10-08,Ravens,,• Kelly Gregg,placed on IR recovering from surgery on left knee
2008-10-08,Saints,,• Martin Gramatica,placed on IR with groin injury
2008-10-08,Saints,,• Olaniyi Sobomehin,placed on IR with shoulder injury
2008-10-11,Packers,,• Kregg Lumpkin,placed on IR with hamstring injury
2008-10-13,Lions,,• Gerald Alexander,placed on IR with neck injury
2008-10-13,Rams,,• Brian Leonard,placed on IR with shoulder injury
2008-10-13,Vikings,,• Drew Radovich,placed on IR with shoulder injury
2008-10-14,49ers,,• Zak Keasey,placed on IR with torn right biceps (out for season)
2008-10-14,Cowboys,,• Mat McBriar,placed on IR with broken foot
2008-10-14,Giants,• David Tyree,,activated from physically unable to perform list
2008-10-14,Lions,,• Jon Kitna,placed on IR with back injury
2008-10-14,Rams,,• Ricky Manning Jr.,placed on IR with broken bone in ankle
2008-10-14,Ravens,,• Marshal Yanda,placed on IR with knee injury
2008-10-14,Ravens,,• Tavares Gooden,placed on IR with hip injury
2008-10-14,Redskins,,• Reed Doughty,placed on IR with back injury
2008-10-15,Buccaneers,,• Byron Storer,placed on IR with torn ACL in right knee
2008-10-15,Colts,,• Mike Hart (b),placed on IR with right knee injury
2008-10-16,49ers,,• Shawntae Spencer,placed on IR recovering from surgery on left knee to repair torn ligament
2008-10-16,Cowboys,,• Sam Hurd,placed on IR recovering from surgery on left ankle
2008-10-17,Bengals,,• Herana-Daze Jones,placed on IR with hamstring injury
2008-10-17,Bengals,,• Kyle Cook,placed on IR with toe injury
2008-10-17,Texans,,• Chris Taylor (RB),placed on IR with quadriceps injury
2008-10-17,Texans,• Dunta Robinson,,activated from physically unable to perform list
2008-10-18,Seahawks,• Will Herring,,activated from physically unable to perform list
2008-10-19,Colts,• Tyjuan Hagler,,activated from physically unable to perform list
2008-10-19,Saints,,• Montavious Stanley,placed on IR
2008-10-20,Patriots,,• Laurence Maroney,placed on IR with shoulder injury
2008-10-20,Patriots,• Stephen Neal,,activated from physically unable to perform list
2008-10-21,Bengals,,• Keith Rivers,placed on IR with broken jaw
2008-10-21,Raiders,,• Ben Troupe,placed on IR with foot injury
2008-10-22,Bears,,• Zackary Bowman / Zack Bowman,placed on IR with biceps injury
2008-10-22,Bills,,• John DiGiorgio,placed on IR recovering from surgery on right knee to repair torn ligament
2008-10-22,Broncos,,• Boss Bailey,placed on IR with left knee injury
2008-10-22,Broncos,,• Erik Pears,placed on IR / non-football injury list with appendectomy
2008-10-22,Broncos,,• Patrick Ramsey,placed on IR with right elbow injury
2008-10-22,Chiefs,,• Brodie Croyle,placed on IR with torn MCL in knee
2008-10-22,Chiefs,,• Damon Huard,placed on IR with thumb injury
2008-10-22,Cowboys,,• Roy Williams (L.),placed on IR with fractured right forearm
2008-10-22,Patriots,,• Rodney Harrison,placed on IR with thigh injury
2008-10-24,Bengals,,• Reagan Maui'a,placed on IR with hamstring injury
2008-10-24,Dolphins,,• Michael Lehan,placed on IR with hamstring injury
2008-10-25,Jaguars,• Chad Nkang,,activated from physically unable to perform list
2008-10-27,Bengals,,• Corey Lynch,placed on IR with right knee injury
2008-10-28,Jets,,• Erik Ainge,placed on IR with right foot injury
2008-10-28,Jets,,• Jesse Chatman,placed on IR with left knee injury
2008-10-28,Raiders,,• Justin Griffith,placed on IR with knee injury
2008-10-28,Steelers,,• Greg Warren (Robert),placed on IR with knee injury
2008-10-28,Raiders,• Seth Wand,,activated from IR
2008-10-29,Chiefs,,• Jean-Philippe Darche / J.P. Darche,placed on IR with knee injury
2008-10-29,Ravens,,• Demetrius Williams,placed on IR with Achilles/ankle injury
2008-10-30,Bengals,,• Dexter Jackson (L.),placed on IR with hamstring injury
2008-10-30,Colts,,• Marlin Jackson,placed on IR with knee injury
2008-10-30,Jaguars,,• Chris Naeole,placed on IR with fractured hand
2008-10-30,Ravens,,• Derrick Martin (b),placed on IR with shoulder injury
2008-11-01,Browns,,• Ryan Tucker,placed on IR with knee injury
2008-11-01,Jets,• Jason Trusnik,,activated from physically unable to perform list
2008-11-01,Packers,• Justin Harrell,,activated from physically unable to perform list
2008-11-03,Broncos,,• Andre Hall,placed on IR with left hand injury
2008-11-03,Broncos,,• Michael Pittman,placed on IR with neck injury
2008-11-03,Saints,,• Charles Grant (b),placed on IR with triceps injury
2008-11-04,Cardinals,,• Ali Highsmith,placed on IR with knee injury
2008-11-04,Chiefs,,• Kolby Smith,placed on IR with knee injury
2008-11-04,Chiefs,• Kevin Robinson (b),,activated from physically unable to perform list
2008-11-04,Chiefs,• Michael Merritt,,activated from physically unable to perform list
2008-11-04,Colts,,• Clifton Dawson,placed on IR with concussion
2008-11-04,Rams,,• Dante Hall,placed on IR with ankle injury
2008-11-04,Rams,,• Drew Bennett,placed on IR with broken foot
2008-11-05,Giants,,• David Tyree,placed on IR with hamstring/knee injury
2008-11-05,Patriots,,• Shawn Crable,placed on IR with shin injury
2008-11-05,Raiders,,• Robert Thomas (Wayne),placed on IR with hamstring injury
2008-11-05,Raiders,,• Tyvon Branch,placed on IR with shoulder injury
2008-11-06,Texans,,• Zac Diles,placed on IR with leg injury
2008-11-07,Bills,,• Ashton Youboty,placed on IR with foot injury
2008-11-10,Broncos,,• Ryan Torain,placed on IR with left knee injury
2008-11-10,Saints,,• Mike McKenzie (b),placed on IR with fractured right kneecap
2008-11-11,Ravens,,• Chris McAlister,placed on IR with knee injury
2008-11-11,Ravens,,• Dawan Landry,placed on IR with shoulder/neck injury
2008-11-12,Buccaneers,,• Maurice Stovall,placed on IR with hamstring injury
2008-11-12,Buccaneers,• Carnell Williams / Cadillac Williams,,activated from physically unable to perform list
2008-11-12,Chiefs,,• Brian Johnston,placed on IR with calf injury
2008-11-15,Dolphins,,• Matt McChesney,placed on IR with knee injury
2008-11-15,Saints,,• Brian Young,placed on IR with knee injury
2008-11-17,Bengals,,• Abdul Hodge,placed on IR with arm injury
2008-11-17,Patriots,,• Terrence Wheatley,placed on IR with wrist injury
2008-11-18,49ers,,• Jonas Jennings,placed on IR with sprained shoulder
2008-11-18,Colts,,• Nick Graham,placed on IR with ankle injury (knee injury per CBS)
2008-11-18,Texans,,• Earl Cochran,placed on IR with turf toe
2008-11-19,Bengals,,• Antonio Chatman,placed on IR with neck injury
2008-11-19,Buccaneers,,• Earnest Graham,placed on IR with right ankle injury
2008-11-19,Buccaneers,,• Geno Hayes,placed on IR with knee injury
2008-11-19,Chargers,,• Craig Davis / Buster Davis (b),placed on IR with groin injury
2008-11-19,Chiefs,,• Claude McBride / Turk McBride,placed on IR with forearm injury / shoulder injury (CBS NFL)
2008-11-19,Colts,,• Tom Santi,placed on IR with shoulder injury
2008-11-19,Saints,,• Aaron Stecker,placed on IR with hamstring injury
2008-11-19,Saints,,• Mark Campbell (Joseph),placed on IR with knee injury
2008-11-19,Seahawks,,• Patrick Kerney,placed on IR with shoulder injury
2008-11-20,Broncos,,• Nate Jackson (Ross),placed on IR with right hamstring injury
2008-11-20,Cowboys,,• Felix Jones,placed on IR with left hamstring injury
2008-11-21,Bengals,,• Johnathan Joseph,placed on IR with foot injury
2008-11-21,Bills,,• Marcus Buggs,placed on IR with ankle injury
2008-11-22,Bears,,• Fred Miller (b),placed on IR with shoulder injury
2008-11-22,Patriots,,• Eric Alexander,placed on IR with hamstring injury
2008-11-22,Titans,,• Eric King (David),placed on IR with forearm injury
2008-11-22,Titans,,• Reynaldo Hill,placed on IR with hip injury
2008-11-24,Bears,,• Darrell McClover,placed on IR with hamstring injury
2008-11-24,Bengals,,• Frostee Rucker,placed on IR with hamstring injury
2008-11-24,Bengals,,• Robert Geathers (b),placed on IR with knee injury
2008-11-24,Eagles,,• Willie Reid,placed on IR
2008-11-24,Lions,,• Jared DeVries,placed on IR with hand injury
2008-11-25,Jaguars,,• Adam Podlesh,placed on IR with knee injury
2008-11-25,Jaguars,• George Wrighster,,activated from physically unable to perform list
2008-11-25,Jaguars,• Jeremy Mincey,,activated from physically unable to perform list
2008-11-25,Texans,,• Ahman Green,placed on IR with knee injury
2008-11-26,Browns,,• Brady Quinn,placed on IR with broken right index finger
2008-11-26,Cowboys,,• Felix Jones,placed on IR with toe injury (CBS NFL)
2008-11-26,Falcons,,• Ben Hartsock,placed on IR with toe injury
2008-11-26,Raiders,,• Javon Walker,placed on IR with ankle injury
2008-11-26,Rams,,• Nick Leckey,placed on IR with broken foot
2008-11-26,Bengals,• Jeremi Johnson,,activated from IR
2008-11-26,Bengals,• Reagan Maui'a,,activated from IR
2008-11-27,Saints,,• Aaron Glenn,placed on IR with ankle injury
2008-11-28,Bears,,• Nathan Vasher,placed on IR with broken thumb
2008-11-28,Bengals,,• Andrew Whitworth,placed on IR with ankle injury
2008-11-28,Bengals,,• Scott Kooistra,placed on IR with knee injury
2008-11-28,Dolphins,,• Greg Camarillo,placed on IR with knee injury
2008-11-29,Chargers,,• Keith Grennan,placed on IR with fibula injury
2008-11-29,Giants,,• Sammy Knight,placed on IR with hip injury
2008-11-30,Cowboys,,• Kyle Kosier,placed on IR with foot injury
2008-12-01,Bills,,• John McCargo,placed on IR with back injury
2008-12-01,Lions,,• Mike Furrey,placed on IR with concussion
2008-12-01,Packers,,• Kenneth Pettway / Kenny Pettway,placed on IR with knee injury
2008-12-01,Packers,,• Nick Barnett,placed on IR with knee injury
2008-12-02,Bengals,,• Marvin White,placed on IR with knee injury
2008-12-02,Browns,,• Derek Anderson,placed on IR with left knee injury
2008-12-02,Cowboys,,• Pat Watkins,placed on IR with neck injury
2008-12-02,Giants,,• Plaxico Burress,placed on non-football injury list with gunshot wound to right thigh
2008-12-02,Patriots,,• Jason Webster,placed on IR with ankle injury
2008-12-02,Saints,• Charles Grant (b),,activated from IR
2008-12-03,Broncos,,• Josh Shaw (b. 1979-09-07),placed on IR with left elbow injury
2008-12-03,Dolphins,,• Justin Smiley,placed on IR with broken right leg
2008-12-03,Eagles,,• Max Jean-Gilles,placed on IR with broken fibula
2008-12-03,Seahawks,,• Chris Spencer (Clarks),placed on IR with back injury
2008-12-04,Jaguars,,• Rashean Mathis,placed on IR with knee injury
2008-12-04,Saints,,• Kevin Kaesviharn,placed on IR with neck injury
2008-12-05,Bengals,,• Kirk Barton,placed on IR with high ankle sprain
2008-12-05,Packers,,• Pat Lee,placed on IR with knee injury
2008-12-05,Patriots,,• Adalius Thomas,placed on IR with broken left forearm
2008-12-05,Seahawks,,• Mike Wahle,placed on IR with shoulder injury
2008-12-06,Bills,,• Chris Ellis,placed on IR with ankle injury
2008-12-08,Broncos,,• Peyton Hillis,placed on IR with torn right hamstring
2008-12-08,Jaguars,,• Chad Nkang,placed on IR with shoulder injury
2008-12-08,Lions,,• Alex Lewis,placed on IR with pectoral muscle injury
2008-12-09,Bears,,• Dusty Dvoracek,placed on IR with torn right biceps
2008-12-09,Falcons,,• Antoine Harris,placed on IR with groin injury
2008-12-09,Rams,,• Tye Hill,placed on IR with knee injury
2008-12-09,Redskins,,• Chris Samuels (b),placed on IR with torn triceps
2008-12-09,Redskins,,• Justin Geisinger,placed on IR with knee injury
2008-12-09,Saints,,• Courtney Roby,placed on IR with ankle injury
2008-12-10,Bengals,,• Eric Henderson,placed on IR with neck injury
2008-12-10,Jaguars,,• Greg Jones (B.),placed on IR with ankle injury
2008-12-10,Ravens,,• Lamar Divens,placed on IR with shoulder injury
2008-12-11,Bills,,• Aaron Schobel,placed on IR with left foot injury
2008-12-11,Jaguars,,• Fred Taylor (Antwon),placed on IR with thumb injury
2008-12-11,Packers,,• Mark Tauscher,placed on IR with knee injury
2008-12-12,Bears,,• Garrett Wolfe,placed on IR with hamstring injury
2008-12-12,Colts,,• Eric Foster,placed on IR with neck injury
2008-12-12,Lions,,• Cory Redding,placed on IR with knee injury
2008-12-12,Seahawks,,• Walter Jones,placed on IR with knee injury
2008-12-13,49ers,,• Arnaz Battle,placed on IR with foot injury
2008-12-13,Patriots,,• Pierre Woods,placed on IR with jaw injury
